849126	121710	8
617178	414525	2
875825	204959	5
429472	860855	5
528826	154067	14
369249	797068	8
137347	622867	7
823840	368410	6
409814	836083	6
394846	407130	4
207552	772091	9
269354	811847	9
256949	820470	10
422776	808328	7
568546	564911	1
172690	847721	10
453261	148432	14
697161	840318	12
193275	538687	6
784838	771499	2
574989	407228	2
160922	347681	2
162600	392531	2
627452	835854	10
437035	755506	8
413894	564459	8
508144	167733	15
851644	721350	2
474648	778810	6
695514	321521	5
305333	171939	11
606506	766728	3
119535	551857	6
837032	509264	11
360319	778673	9
507832	181513	14
345703	149860	12
387756	435588	5
613351	407952	2
846594	522941	11
700962	927047	16
258201	153095	11
188480	870646	10
893991	544467	14
794142	306704	5
338205	566246	8
629998	877765	13
567188	560044	1
553118	165472	14
136418	562926	6
382720	263255	6
709254	847444	13
184798	392233	2
623137	408209	3
546031	570429	2
839514	728923	1
851166	532382	12
694451	863981	14
394708	739061	9
823202	619103	6
136569	532130	6
140612	350010	2
808440	729985	1
645563	819480	9
796952	318633	5
827081	694553	3
847728	576707	10
920249	551171	15
400468	405703	4
402267	410395	4
405350	762342	9
372883	222824	9
674659	860894	14
603855	575180	1
618893	419740	2
932662	537069	16
219686	859997	10
866987	154415	8
808452	320117	5
549384	208450	13
674134	908464	15
795489	287279	5
385338	440797	5
893106	176595	7
496069	102201	11
220869	407358	3
398498	776720	8
866928	716961	3
602335	433298	2
274321	219665	8
116860	550810	6
149863	284721	2
166973	341636	2
136580	553967	6
615665	405490	3
850478	566230	10
222682	806314	10
819737	737829	1
511484	160453	14
841928	398948	7
187314	815820	9
122130	568886	6
341016	545280	8
837019	215527	6
829673	730398	1
315830	102777	11
345903	561314	8
672544	859978	13
870630	516603	13
605535	925341	11
803031	325811	5
409701	750741	9
722463	882675	15
844948	563321	10
228095	843338	10
238748	551038	7
843344	604964	8
414036	742189	9
845120	549830	10
367079	183232	12
883537	210648	5
634004	895206	13
674311	859933	13
872516	217570	5
338860	561151	8
416775	806826	7
403852	792473	8
355168	114823	12
311819	140674	12
808097	502521	8
404792	749210	9
702654	841548	12
840943	739611	1
559933	403956	2
823108	733302	1
94933	588147	6
470314	178936	14
616468	394118	3
601599	388540	3
822670	689090	3
816840	539239	8
598759	582942	1
473727	807244	6
659321	404555	3
371685	151612	13
146120	576624	6
661430	603567	1
112673	516997	5
497454	172375	14
241473	860854	10
877510	555087	13
146070	316860	2
521032	177084	15
858703	157931	8
241381	844402	10
670119	859029	13
333934	537464	8
691716	873426	15
511118	175212	15
696144	548705	2
289087	565427	8
219779	330969	3
606933	576409	1
313573	109221	11
815652	733433	1
870054	738900	1
854338	135067	8
657455	567754	1
131532	536658	6
828179	155649	9
857309	139276	8
402069	434868	5
830620	117906	7
161475	587507	7
850904	720163	2
638078	629421	1
730287	897070	15
803375	311620	5
308763	166511	11
799903	784535	1
831024	505776	10
432656	783776	8
848413	183717	8
569692	182365	14
803370	318247	5
268518	181514	10
687360	862438	14
324440	567074	8
588597	622592	1
418618	811618	7
589862	418742	2
846841	533595	10
799667	316830	5
